NBA SALARIES,,,
,,,
Oliver Miller .................,"510,000",[minimum,"$697,500]"
Mark West .....................,"510,000",[minimum,"$1,000,000]"
Toby Bailey ...................,"535,000",,
Randy Livingston ..............,"485,000",,
Gerald Brown ..................,"385,000",[released,12/99]
Ben Davis .....................,"45,847",[released,1/00]
Mike Brown ....................,"25,000",[released,10/99]
LaMarcus Golden ...............,"25,000",[released,10/99]
,,,
----,,,
,,,
Portland Trailblazers      Total,"$73,898,705 ",,
Scottie Pippen ................,"14,795,642",,
Rasheed Wallace ...............,"10,800,000",,
Damon Stoudamire ..............,"10,125,000",,
Arvydas Sabonis ...............,"9,818,481",,
Brian Grant ...................,"7,680,862",,
Steve Smith ...................,"7,200,000",,
Jermaine O'Neal ...............,"5,075,000",,
Detlef Schrempf ...............,"2,000,000",,
Bonzi Wells ...................,"1,428,720",,
Gary Grant ....................,"1,200,000",,
Greg Anthony ..................,"1,100,000",,
John Crotty ...................,"760,000",[released,3/99]
Stacey Augmon .................,"510,000",[minimum,"$760,000]"
Antonio Harvey ................,"510,000",,
Joe Kleine ....................,"510,000",[minimum,"$1,000,000]"
Nikita Morgunov ...............,"385,000",,
,,,
----,,,
,,,
Sacramento Kings           Total,"$40,113,125 ",,
Chris Webber ..................,"11,000,000",,
Vlade Divac ...................,"8,837,774",,
Nick Anderson .................,"5,051,906",,
Corliss Williamson ............,"3,560,000",,
Lawrence Funderburke ..........,"2,400,000",,
Jason Williams ................,"1,879,920",,
Kevin Gamble ..................,"1,868,750",[released,2/98]
Predrag Stojakovic ............,"1,310,400",,
Scot Pollard ..................,"1,000,000",,
Jon Barry .....................,"800,000",,
Darrick Martin ................,"572,500",,
Tyrone Corbin .................,"510,000",[minimum,"$1,000,000]"
Bill Wennington ...............,"510,000",[minimum,"$1,000,000]"
Tony Delk .....................,"485,000",,
Ryan Robertson ................,"301,875",,
Art Long ......................,"25,000",[released,10/99]
,,,
----,,,
,,,
San Antonio Spurs          Total,"$42,579,801 ",,
David Robinson ................,"11,592,683",,
Sean Elliott ..................,"5,433,333",,
Tim Duncan ....................,"3,858,240",,
Avery Johnson .................,"3,200,000",,
Antonio Daniels ...............,"2,794,920",,
Samaki Walker .................,"2,716,667",,
Jaren Jackson .................,"2,483,333",,
Malik Rose ....................,"2,285,000",,
Terry Porter ..................,"2,000,000",,
Steve Kerr ....................,"1,968,750",,
Mario Elie ....................,"1,925,000",,
Jerome Kersey .................,"1,000,000",,
Felton Spencer ................,"510,000","[minimum,","$885,000]"
Andrew Gaze ...................,"460,000",[complete,d contract*]
Derrick Dial ..................,"301,875",,
,,,
----,,,
,,,
Seattle Sonics             Total,"$38,258,910 ",,
Gary Payton ...................,"11,020,473",,
Vin Baker .....................,"9,000,000",,
Horace Grant ..................,"5,952,381",,
Brent Barry ...................,"3,960,000",,
Greg Foster ...................,"1,603,861",,
Vernon Maxwell ................,"1,430,000",,
Jelani McCoy ..................,"1,000,000",,
Ruben Patterson ...............,"900,000",,
Vladimir Stepania .............,"700,320",,
Emanual Davis .................,"510,000",,
Chuck Person ..................,"510,000",[minimum,"$1,000,000]"
Shammond Williams .............,"500,000",,
Fred Vinson ...................,"485,000",,
Rashard Lewis .................,"385,000",,
Lazaro Borrell ................,"301,875",,
,,,
----,,,
,,,
Toronto Raptors            Total,"$34,730,320 ",,
Charles Oakley ................,"5,236,000",,
Antonio Davis .................,"4,200,000",,
Dee Brown .....................,"4,000,000",,
