PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Dan Majerle,MIA,34,6-Jun,222,Central Michigan,USA,1988,1,14,69,7.3,4.8,3,4.8,1.30%,12.90%,10.10%,55.90%,13.10%
Dana Barros,BOS,33,11-May,163,Boston College,USA,1989,1,16,72,7.2,1.4,1.8,-4.4,1.10%,8.00%,19.10%,55.20%,20.30%
Danny Ferry,CLE,33,10-Jun,235,Duke,USA,1989,1,2,63,7.3,3.8,1.1,0.8,4.20%,13.50%,14.60%,57.10%,8.10%
Danny Fortson,BOS,24,7-Jun,260,Cincinnati,USA,1997,1,10,55,7.6,6.7,0.5,-0.1,15.20%,29.30%,19.70%,60.20%,5.80%
Danny Manning,MIL,34,10-Jun,244,Kansas,USA,1988,1,1,72,4.6,2.9,1,-1.5,4.50%,13.70%,15.80%,46.00%,9.60%
Darrell Armstrong,ORL,32,1-Jun,180,Fayetteville State,USA,Undrafted,Undrafted,Undrafted,82,16.2,3.3,6.1,1,2.30%,7.60%,22.90%,54.20%,30.90%
Darrick Martin,SAC,29,11-May,170,UCLA,,Undrafted,Undrafted,Undrafted,71,5.7,0.6,1.7,2.6,0.80%,4.10%,22.10%,50.00%,22.50%
Darvin Ham,MIL,26,7-Jun,230,Texas Tech,USA,Undrafted,Undrafted,Undrafted,35,5.1,4.9,1.2,6.3,10.70%,11.30%,10.20%,54.50%,7.40%
David Robinson,SAS,34,1-Jul,250,Navy,USA,1987,1,1,80,17.8,9.6,1.8,9.3,8.30%,22.40%,25.50%,56.80%,10.10%
David Wesley,CHH,29,1-Jun,202,Baylor,USA,Undrafted,Undrafted,Undrafted,82,13.6,2.7,5.6,1.4,1.40%,6.60%,19.90%,51.90%,28.40%
David Wingate,NYK,36,5-Jun,185,Georgetown,USA,1986,2,44,7,0.3,0.3,0.4,-25.8,2.60%,2.90%,13.40%,11.10%,18.80%
DeMarco Johnson,NYK,24,9-Jun,245,North Carolina-Charlotte,USA,1998,2,38,5,1.2,1.4,0,2.1,8.10%,9.30%,14.50%,33.30%,0.00%
Dean Garrett,MIN,33,11-Jun,250,Indiana,USA,1988,2,38,56,2,2.5,0.3,3,6.90%,15.80%,10.20%,47.70%,4.30%
Dedric Willoughby,CHI,26,3-Jun,180,Iowa State,USA,Undrafted,Undrafted,Undrafted,25,7.6,2,2.6,-3.9,2.10%,8.70%,19.80%,47.20%,22.50%
Dee Brown,TOR,31,2-Jun,205,Jacksonville,USA,1990,1,19,38,6.9,1.4,2.3,-0.5,1.20%,6.80%,19.10%,49.80%,21.40%
Dell Curry,TOR,36,5-Jun,205,Virginia Tech,USA,1986,1,15,67,7.6,1.5,1.3,0.9,1.00%,8.60%,20.10%,54.20%,14.10%
Dennis Rodman,DAL,39,7-Jun,210,Southeastern Oklahoma State,USA,1986,2,27,12,2.8,14.3,1.2,-8.7,12.20%,31.80%,6.20%,45.70%,4.60%
Dennis Scott,VAN,31,8-Jun,229,Georgia Tech,USA,1990,1,4,66,5.6,1.6,1,-4.8,1.30%,8.00%,13.60%,51.50%,8.90%
Derek Anderson,LAC,25,5-Jun,195,Kentucky,USA,1997,1,13,64,16.9,4,3.4,-13.1,3.60%,8.60%,23.00%,54.20%,17.90%
Derek Fisher,LAL,25,1-Jun,200,Arkansas-Little Rock,USA,1996,1,24,78,6.3,1.8,2.8,12.9,1.20%,6.20%,15.00%,44.90%,17.60%
Derek Hood,CHH,23,8-Jun,230,Arkansas,USA,Undrafted,Undrafted,Undrafted,2,0,0.5,0,-98,0.00%,50.00%,23.10%,0.00%,0.00%
